candidate_id,task_id,completion_time,errors_count,safety_violations,test_cases_passed,code_complexity,review_score
CAND_5,TASK_4,82,11,7,11,14,0.11
CAND_41,TASK_18,65,3,6,43,11,3.33
CAND_25,TASK_2,62,3,7,42,9,5.14
CAND_43,TASK_11,135,7,5,39,11,3.92
CAND_11,TASK_11,183,3,3,60,13,5.47
CAND_39,TASK_5,50,5,4,46,8,4.71
CAND_6,TASK_17,109,10,6,17,8,2.28
CAND_41,TASK_13,96,10,0,62,14,5.9
CAND_47,TASK_4,45,10,6,26,8,3.03
CAND_22,TASK_7,152,10,1,56,7,5.43
CAND_13,TASK_1,108,2,6,46,12,4.03
CAND_16,TASK_17,77,13,7,0,6,0.0
CAND_21,TASK_19,39,3,4,68,7,7.15
CAND_6,TASK_8,83,7,3,53,9,5.79
CAND_5,TASK_9,143,10,7,20,11,1.4
CAND_44,TASK_18,80,14,2,24,10,2.05
CAND_12,TASK_16,105,14,5,16,7,1.69
CAND_30,TASK_19,191,1,2,83,9,9.07
CAND_21,TASK_1,61,11,0,47,14,3.93
CAND_22,TASK_14,106,0,6,58,8,6.39
CAND_8,TASK_3,104,4,6,42,10,4.47
CAND_40,TASK_2,32,14,7,0,12,0.15
CAND_25,TASK_1,111,7,2,62,9,6.85
CAND_5,TASK_4,90,6,0,72,11,7.23
CAND_47,TASK_11,148,3,4,61,6,6.92
CAND_32,TASK_14,134,14,5,16,14,0.74
CAND_15,TASK_8,184,12,7,10,6,1.42
CAND_40,TASK_14,199,2,5,53,5,5.29
CAND_26,TASK_1,115,13,6,10,14,1.22
CAND_31,TASK_5,89,5,1,75,8,8.07
CAND_44,TASK_2,36,3,7,46,11,5.03
CAND_49,TASK_19,155,6,3,53,7,4.56
CAND_32,TASK_13,161,12,1,47,14,4.31
CAND_31,TASK_1,46,9,3,49,9,5.56
CAND_39,TASK_17,80,1,7,55,8,5.69
CAND_46,TASK_16,67,5,1,74,8,6.94
CAND_33,TASK_6,77,1,6,60,13,5.72
CAND_25,TASK_16,105,0,4,76,5,6.96
CAND_11,TASK_11,59,14,7,0,10,0.0
CAND_10,TASK_11,160,5,2,63,7,5.38
CAND_22,TASK_2,65,4,7,36,10,3.46
CAND_40,TASK_15,76,8,5,40,10,4.37
CAND_19,TASK_2,42,6,7,30,11,2.45
CAND_2,TASK_7,85,12,0,48,7,4.83
CAND_29,TASK_15,119,13,0,49,6,4.39
CAND_28,TASK_12,22,6,4,47,7,4.79
CAND_25,TASK_9,35,14,1,30,14,2.11
CAND_46,TASK_10,175,7,1,59,14,6.87
CAND_10,TASK_15,56,0,1,85,12,7.79
CAND_13,TASK_4,163,14,2,36,5,4.53
CAND_3,TASK_10,147,5,1,71,9,7.36
CAND_44,TASK_5,54,5,1,66,11,7.22
CAND_25,TASK_19,36,4,6,42,14,3.74
CAND_47,TASK_15,65,1,4,62,8,6.95
CAND_1,TASK_5,142,5,4,54,9,5.12
CAND_10,TASK_4,80,10,0,55,11,6.13
CAND_33,TASK_4,129,8,1,54,8,4.6
CAND_1,TASK_3,47,0,3,75,6,7.06
CAND_17,TASK_6,154,7,0,75,11,8.43
CAND_15,TASK_5,165,11,3,28,14,3.53
CAND_4,TASK_18,133,8,2,47,7,4.31
CAND_42,TASK_17,162,6,2,60,10,6.1
CAND_6,TASK_1,50,1,3,69,9,6.04
CAND_26,TASK_2,70,11,3,31,14,3.55
CAND_16,TASK_5,146,3,1,84,14,7.99
CAND_35,TASK_12,45,13,3,32,8,3.78
CAND_27,TASK_16,97,13,7,9,12,1.14
CAND_13,TASK_8,65,0,5,63,14,5.64
CAND_16,TASK_18,22,14,2,34,9,2.96
CAND_38,TASK_16,58,12,3,34,8,4.23
CAND_38,TASK_8,83,4,2,64,14,6.22
CAND_19,TASK_15,94,13,2,30,12,2.94
CAND_18,TASK_12,22,2,2,82,7,8.29
CAND_47,TASK_8,155,5,4,52,6,6.1
CAND_29,TASK_18,60,1,2,80,11,8.92
