candidate_id,task_id,completion_time,errors_count,safety_violations,test_cases_passed,code_complexity,review_score
CAND_39,TASK_19,78,3,0,97,12,8.8
CAND_40,TASK_3,62,2,0,95,12,8.0
CAND_38,TASK_2,61,0,0,86,12,9.5
CAND_44,TASK_17,60,0,0,96,14,8.6
CAND_16,TASK_15,66,2,0,99,14,7.1
CAND_3,TASK_5,86,1,0,87,11,9.9
CAND_25,TASK_14,46,0,0,93,11,7.0
CAND_20,TASK_15,89,1,0,93,14,7.3
CAND_40,TASK_4,17,10,3,53,15,3.0
CAND_29,TASK_18,41,1,0,90,10,8.6
CAND_14,TASK_16,65,3,0,86,14,9.7
CAND_40,TASK_16,54,3,0,98,11,8.6
CAND_25,TASK_13,84,1,0,99,9,8.8
CAND_9,TASK_1,80,0,0,99,5,7.0
CAND_35,TASK_3,83,3,0,92,7,9.1
CAND_41,TASK_7,72,2,0,89,14,8.1
CAND_23,TASK_5,48,3,0,96,6,7.3
CAND_37,TASK_15,108,7,2,66,17,3.9
CAND_14,TASK_7,53,2,0,85,9,8.7
CAND_13,TASK_19,66,0,0,99,14,7.1
CAND_4,TASK_5,71,2,0,85,8,8.7
CAND_7,TASK_19,62,2,0,97,8,9.8
CAND_6,TASK_12,61,3,0,86,14,9.4
CAND_25,TASK_7,83,3,0,98,14,7.4
CAND_41,TASK_3,72,0,0,93,13,9.5
CAND_33,TASK_19,78,1,0,92,13,8.5
CAND_24,TASK_9,81,3,0,92,10,7.7
CAND_39,TASK_2,88,1,0,85,14,9.9
CAND_49,TASK_2,42,0,0,89,5,10.0
CAND_33,TASK_1,41,3,0,90,11,7.8
CAND_32,TASK_6,58,1,0,86,9,8.5
CAND_17,TASK_6,71,2,0,88,11,9.3
CAND_11,TASK_16,63,0,0,88,6,8.9
CAND_3,TASK_4,55,0,0,93,10,9.1
CAND_41,TASK_1,99,6,3,58,18,4.6
CAND_11,TASK_18,79,3,0,91,6,9.5
CAND_16,TASK_16,62,2,0,98,14,7.8
CAND_9,TASK_9,88,1,0,85,9,9.7
CAND_33,TASK_11,74,2,0,100,7,9.6
CAND_35,TASK_16,88,3,0,88,10,9.0
CAND_18,TASK_2,64,2,0,93,6,7.5
CAND_4,TASK_1,74,3,0,97,13,7.5
CAND_8,TASK_7,53,0,0,100,8,8.1
CAND_30,TASK_6,137,4,3,61,21,3.0
CAND_27,TASK_2,77,0,0,87,10,9.7
CAND_5,TASK_16,30,9,1,67,29,4.0
CAND_44,TASK_14,58,3,0,87,5,7.1
CAND_29,TASK_17,45,2,0,96,13,9.9
CAND_21,TASK_1,85,0,0,99,7,9.9
CAND_3,TASK_8,42,3,0,86,13,8.2
CAND_27,TASK_10,85,3,0,86,10,8.1
CAND_43,TASK_16,41,1,0,85,12,9.1
CAND_25,TASK_13,78,0,0,94,11,8.3
CAND_46,TASK_16,46,0,0,88,8,8.9
CAND_34,TASK_2,53,3,0,87,11,7.1
CAND_22,TASK_17,71,2,0,99,10,8.0
CAND_37,TASK_1,81,1,0,99,10,8.6
CAND_6,TASK_13,47,0,0,96,9,8.4
CAND_16,TASK_13,71,3,0,98,7,8.9
CAND_19,TASK_5,89,3,0,94,7,9.4
CAND_12,TASK_1,65,0,0,98,11,8.3
CAND_40,TASK_13,40,2,0,86,10,9.1
CAND_5,TASK_3,40,3,0,97,11,9.0
CAND_29,TASK_14,51,1,0,100,7,9.3
CAND_5,TASK_12,67,0,0,99,5,7.9
CAND_33,TASK_5,55,1,0,94,9,8.4
CAND_34,TASK_10,62,1,0,94,10,8.9
CAND_45,TASK_4,58,1,0,100,5,8.6
CAND_28,TASK_12,55,3,0,100,11,9.8
CAND_43,TASK_5,89,2,0,96,5,8.4
CAND_43,TASK_12,51,2,0,85,5,9.0
CAND_35,TASK_17,68,0,0,96,6,7.1
CAND_34,TASK_19,65,3,0,97,14,9.0
CAND_45,TASK_11,80,2,0,88,14,9.1
CAND_36,TASK_10,68,3,0,88,13,9.4
CAND_39,TASK_5,110,4,3,74,18,3.5
CAND_41,TASK_17,51,0,0,91,11,9.3
CAND_19,TASK_17,88,1,0,88,13,8.0
CAND_9,TASK_7,75,3,0,97,13,9.5
CAND_47,TASK_16,67,1,0,99,8,8.7
CAND_21,TASK_4,44,2,0,96,13,8.7
CAND_42,TASK_7,62,3,0,93,11,7.3
CAND_18,TASK_15,131,8,3,62,27,3.4
CAND_38,TASK_7,51,0,0,94,14,8.9
CAND_27,TASK_2,85,0,0,92,14,8.2
CAND_48,TASK_13,44,0,0,89,10,10.0
CAND_25,TASK_13,40,1,0,88,5,9.8
CAND_39,TASK_10,43,3,0,90,7,9.3
CAND_28,TASK_8,65,2,0,91,7,7.8
CAND_49,TASK_1,80,2,0,85,7,8.8
CAND_32,TASK_13,77,0,0,90,14,7.0
CAND_37,TASK_4,70,10,1,55,20,5.7
CAND_41,TASK_17,74,2,0,88,13,8.6
CAND_3,TASK_16,23,10,3,40,19,4.8
CAND_8,TASK_6,62,0,0,95,14,9.9
CAND_28,TASK_4,51,3,0,96,9,7.8
CAND_37,TASK_9,65,3,0,94,6,7.8
CAND_9,TASK_1,75,3,0,95,10,7.1
CAND_18,TASK_19,59,0,0,96,7,9.5
CAND_30,TASK_18,44,2,0,93,6,7.2
CAND_1,TASK_18,84,0,0,91,12,8.1
CAND_49,TASK_13,20,8,2,64,20,5.3
CAND_21,TASK_16,72,1,0,93,7,7.4
CAND_38,TASK_3,45,3,0,85,9,10.0
CAND_19,TASK_17,62,0,0,89,9,9.3
CAND_13,TASK_4,60,1,0,93,5,9.9
CAND_26,TASK_2,122,11,2,67,29,2.5
CAND_5,TASK_17,42,2,0,86,5,8.7
CAND_21,TASK_14,87,2,0,99,11,9.3
CAND_34,TASK_6,41,2,0,87,11,7.4
CAND_34,TASK_6,59,5,2,69,29,3.7
CAND_17,TASK_5,72,3,0,99,11,8.6
CAND_17,TASK_5,68,3,0,94,12,9.5
CAND_43,TASK_11,73,1,0,89,6,8.0
CAND_16,TASK_11,87,2,0,87,13,8.4
CAND_25,TASK_3,55,3,0,88,12,9.1
CAND_19,TASK_5,71,2,0,95,6,8.8
CAND_1,TASK_5,57,3,0,94,10,7.3
CAND_45,TASK_9,21,5,2,73,15,4.0
CAND_30,TASK_11,65,0,0,99,13,9.1
CAND_8,TASK_17,72,11,1,56,24,5.5
CAND_26,TASK_14,74,0,0,88,12,8.5
CAND_7,TASK_3,139,8,2,53,25,3.0
CAND_15,TASK_5,120,10,2,57,24,3.4
CAND_22,TASK_12,67,1,0,91,13,9.5
CAND_10,TASK_3,64,0,0,97,8,8.4
CAND_34,TASK_15,80,0,0,86,8,8.6
CAND_37,TASK_6,47,3,0,85,7,8.1
CAND_6,TASK_5,65,3,0,86,12,8.5
CAND_48,TASK_4,72,0,0,90,9,7.5
CAND_3,TASK_19,69,2,0,98,12,9.7
CAND_6,TASK_2,70,3,0,89,8,10.0
CAND_49,TASK_6,59,3,0,95,8,7.0
CAND_45,TASK_12,41,2,0,95,12,8.4
CAND_20,TASK_1,44,1,0,94,10,9.1
CAND_38,TASK_5,59,0,0,96,5,8.8
CAND_10,TASK_5,50,2,0,88,7,7.2
CAND_2,TASK_1,62,1,0,96,6,8.0
CAND_24,TASK_6,76,0,0,85,13,8.8
CAND_44,TASK_18,74,1,0,99,5,9.6
CAND_35,TASK_3,53,0,0,92,13,7.6
CAND_29,TASK_8,40,3,0,100,10,7.1
CAND_5,TASK_19,50,0,0,89,7,7.5
CAND_42,TASK_18,53,1,0,98,8,7.9
CAND_38,TASK_1,79,3,0,91,12,8.1
CAND_33,TASK_15,62,2,0,99,5,7.7
CAND_39,TASK_19,41,1,0,89,12,7.7
CAND_42,TASK_15,45,1,0,87,11,9.2
CAND_27,TASK_4,86,0,0,85,8,9.2
CAND_27,TASK_1,68,1,0,93,5,9.1
CAND_10,TASK_1,43,1,0,86,14,8.5
CAND_15,TASK_8,77,0,0,99,8,8.4
CAND_2,TASK_19,44,0,0,99,8,9.2
CAND_10,TASK_8,75,3,0,94,9,9.5
CAND_46,TASK_11,77,1,0,92,11,8.4
CAND_33,TASK_15,149,5,1,79,28,2.4
CAND_5,TASK_5,79,3,0,95,8,9.8
CAND_9,TASK_19,47,2,0,94,5,8.7
CAND_23,TASK_1,68,1,0,92,13,9.8
CAND_23,TASK_1,85,0,0,89,14,9.5
CAND_10,TASK_9,79,2,0,89,13,9.2
CAND_38,TASK_2,74,2,0,88,13,9.6
CAND_43,TASK_12,46,1,0,95,6,9.8
CAND_24,TASK_1,63,0,0,91,8,8.3
CAND_21,TASK_17,88,0,0,99,10,7.7
CAND_22,TASK_8,46,0,0,88,13,7.4
CAND_19,TASK_17,88,2,0,85,11,8.3
CAND_47,TASK_18,39,11,3,57,15,5.1
CAND_38,TASK_19,41,1,0,96,5,8.2
CAND_32,TASK_10,43,0,0,92,11,9.8
CAND_23,TASK_18,49,2,0,98,6,8.2
CAND_3,TASK_8,46,0,0,92,5,8.7
CAND_47,TASK_8,86,0,0,87,7,9.0
CAND_16,TASK_4,44,11,2,71,22,5.2
CAND_7,TASK_10,76,1,0,89,11,9.7
CAND_19,TASK_4,46,0,0,91,9,7.1
CAND_5,TASK_11,68,3,0,86,6,9.7
CAND_38,TASK_9,139,6,3,51,18,4.5
CAND_22,TASK_12,73,0,0,96,7,9.8
CAND_23,TASK_17,63,0,0,94,12,10.0
CAND_45,TASK_7,89,2,0,85,13,8.6
CAND_29,TASK_13,48,1,0,90,8,7.4
CAND_21,TASK_10,107,10,1,50,20,5.7
CAND_38,TASK_12,109,4,2,73,15,3.6
CAND_31,TASK_6,62,0,0,94,10,7.4
CAND_10,TASK_13,66,3,0,86,13,8.5
CAND_2,TASK_11,56,1,0,89,14,8.3
CAND_29,TASK_11,40,2,0,89,8,9.3
CAND_34,TASK_15,49,6,1,78,22,4.3
CAND_36,TASK_15,63,1,0,90,9,8.5
CAND_45,TASK_11,59,2,0,87,8,7.2
CAND_9,TASK_8,73,0,0,94,6,7.3
CAND_39,TASK_3,56,0,0,93,12,8.3
CAND_34,TASK_12,42,1,0,89,7,7.8
CAND_10,TASK_17,58,0,0,96,5,7.4
CAND_31,TASK_17,86,3,0,98,12,9.3
CAND_12,TASK_15,127,11,2,47,23,5.6
CAND_10,TASK_16,65,0,0,97,14,7.1
CAND_7,TASK_14,46,0,0,91,14,8.7
CAND_8,TASK_18,54,0,0,91,13,7.6
CAND_18,TASK_10,62,0,0,86,8,9.5
CAND_45,TASK_2,78,0,0,98,12,7.7
CAND_23,TASK_12,42,0,0,95,12,8.3
CAND_22,TASK_13,78,2,0,92,5,8.6
CAND_2,TASK_3,57,0,0,100,14,9.6
CAND_18,TASK_3,81,1,0,98,11,7.6
CAND_44,TASK_16,78,1,0,88,5,8.2
CAND_39,TASK_5,83,2,0,93,14,7.3
CAND_30,TASK_18,40,1,0,85,7,8.4
CAND_1,TASK_14,43,1,0,98,9,7.1
CAND_4,TASK_12,54,0,0,99,5,8.2
CAND_46,TASK_11,46,8,1,45,21,5.5
CAND_8,TASK_19,52,1,0,93,11,10.0
CAND_49,TASK_3,119,5,3,73,23,2.9
CAND_49,TASK_9,45,0,0,89,10,9.9
CAND_42,TASK_3,74,3,0,94,5,7.5
CAND_32,TASK_3,89,1,0,98,5,7.5
CAND_14,TASK_5,77,0,0,92,13,8.8
CAND_28,TASK_9,73,2,0,93,12,7.8
CAND_40,TASK_5,42,0,0,86,14,9.4
CAND_38,TASK_8,50,2,0,86,12,7.8
CAND_48,TASK_13,44,3,0,94,6,7.2
CAND_45,TASK_19,67,0,0,97,5,7.2
CAND_13,TASK_13,42,3,0,92,6,8.6
CAND_28,TASK_1,72,1,0,92,7,9.6
CAND_36,TASK_6,87,0,0,97,13,9.8
CAND_31,TASK_10,46,0,0,95,14,8.4
CAND_31,TASK_18,49,3,0,95,9,9.2
CAND_13,TASK_14,75,1,0,98,11,7.6
CAND_34,TASK_13,66,0,0,93,5,7.3
CAND_10,TASK_9,74,3,0,90,7,9.3
CAND_4,TASK_4,71,1,0,99,9,7.3
CAND_17,TASK_10,89,3,0,95,5,9.3
CAND_14,TASK_15,40,1,0,94,12,7.1
CAND_12,TASK_7,68,3,0,88,7,8.8
CAND_32,TASK_19,68,2,0,85,10,8.1
CAND_4,TASK_17,67,10,2,73,28,3.9
CAND_29,TASK_11,74,0,0,93,11,8.6
CAND_27,TASK_3,71,1,0,99,8,9.0
CAND_21,TASK_15,56,1,0,96,12,8.3
CAND_5,TASK_3,55,0,0,95,8,8.2
CAND_35,TASK_17,40,1,0,96,10,7.7
CAND_8,TASK_14,34,11,2,54,26,3.9
CAND_27,TASK_14,64,0,0,97,9,7.5
CAND_44,TASK_3,89,3,0,91,7,9.4
CAND_7,TASK_17,59,1,0,99,13,7.0
CAND_22,TASK_2,83,3,0,88,13,7.6
CAND_18,TASK_18,63,3,0,95,5,7.0
CAND_45,TASK_1,85,2,0,99,10,7.9
CAND_41,TASK_17,77,0,0,92,10,9.2
CAND_20,TASK_1,51,0,0,98,10,8.9
CAND_2,TASK_1,49,3,0,100,6,8.0
CAND_26,TASK_7,72,0,0,97,5,9.5
CAND_44,TASK_17,112,5,2,54,16,2.2
CAND_6,TASK_9,113,6,1,42,25,2.1
CAND_8,TASK_8,78,2,0,100,13,9.1
CAND_7,TASK_11,89,3,0,98,8,8.0
CAND_26,TASK_3,59,3,0,88,10,9.5
CAND_23,TASK_12,80,3,0,94,6,7.2
CAND_46,TASK_4,52,0,0,97,7,7.7
CAND_32,TASK_19,84,3,0,97,11,8.3
CAND_37,TASK_9,83,1,0,90,6,9.0
CAND_29,TASK_15,42,3,0,94,7,9.0
CAND_31,TASK_5,72,2,0,96,5,9.6
CAND_49,TASK_19,43,3,0,96,8,8.5
CAND_36,TASK_2,71,0,0,88,14,9.2
CAND_12,TASK_3,54,1,0,88,10,9.0
CAND_35,TASK_8,84,1,0,92,9,9.2
CAND_14,TASK_14,75,3,0,98,11,8.9
CAND_41,TASK_15,41,2,0,89,9,7.2
CAND_39,TASK_6,53,3,0,91,13,9.0
CAND_35,TASK_5,56,2,0,93,13,8.2
CAND_45,TASK_15,14,10,1,79,26,2.5
CAND_16,TASK_10,70,2,0,94,7,8.3
CAND_20,TASK_8,68,1,0,96,13,8.3
CAND_37,TASK_15,10,4,2,59,26,2.1
CAND_44,TASK_15,76,3,0,89,5,9.5
CAND_2,TASK_9,54,1,0,96,8,7.8
CAND_6,TASK_5,76,3,0,94,5,7.4
CAND_42,TASK_18,44,0,0,85,7,7.1
CAND_29,TASK_7,63,2,0,95,6,8.0
CAND_38,TASK_13,70,3,0,99,6,8.0
CAND_21,TASK_1,55,1,0,94,11,7.5
CAND_22,TASK_15,47,0,0,100,10,9.6
CAND_10,TASK_18,73,0,0,91,11,9.8
CAND_49,TASK_12,57,0,0,94,12,9.6
CAND_19,TASK_16,66,3,0,93,8,9.0
CAND_6,TASK_9,62,11,1,65,28,4.6
CAND_31,TASK_9,72,0,0,93,13,7.3
CAND_38,TASK_19,50,3,0,86,10,8.0
CAND_45,TASK_11,45,1,0,86,13,8.0
CAND_21,TASK_15,40,3,0,98,10,8.9
CAND_19,TASK_1,40,3,0,94,11,8.7
CAND_26,TASK_11,88,3,0,85,7,7.7
CAND_9,TASK_3,74,3,0,98,14,9.3
CAND_29,TASK_12,60,1,0,92,6,8.4
CAND_36,TASK_15,44,1,0,100,9,7.7
CAND_44,TASK_11,82,3,0,91,10,9.2
CAND_15,TASK_4,84,0,0,91,11,9.7
CAND_22,TASK_19,50,2,0,99,8,9.8
CAND_46,TASK_15,73,1,0,97,8,7.8
CAND_18,TASK_2,67,2,0,92,14,8.8
CAND_11,TASK_7,88,0,0,88,14,7.4
CAND_49,TASK_10,104,7,2,78,27,2.7
CAND_7,TASK_1,81,3,0,88,8,8.5
CAND_13,TASK_9,83,3,0,97,14,7.3
CAND_42,TASK_8,35,4,3,49,22,3.6
CAND_4,TASK_18,63,3,0,85,14,7.8
CAND_18,TASK_19,63,2,0,88,11,9.0
CAND_47,TASK_17,75,1,0,85,11,8.8
CAND_17,TASK_16,74,3,0,86,5,7.7
CAND_10,TASK_9,76,2,0,87,11,8.6
CAND_7,TASK_18,87,8,1,64,16,3.1
CAND_11,TASK_7,42,1,0,90,11,9.2
CAND_38,TASK_10,63,3,0,98,7,8.8
CAND_33,TASK_4,71,2,0,97,8,7.3
CAND_41,TASK_7,42,0,0,92,5,7.7
CAND_44,TASK_8,43,0,0,85,6,9.0
CAND_3,TASK_6,77,3,0,86,7,8.6
CAND_35,TASK_2,41,2,0,96,6,8.1
CAND_36,TASK_5,62,1,0,88,12,8.7
CAND_42,TASK_16,52,0,0,99,13,7.5
CAND_16,TASK_13,51,0,0,100,12,9.4
CAND_20,TASK_8,62,3,0,87,12,7.1
CAND_22,TASK_18,117,4,1,69,19,2.4
CAND_12,TASK_6,47,2,0,100,5,8.8
CAND_45,TASK_2,73,0,0,98,8,7.9
CAND_11,TASK_3,80,0,0,86,13,8.7
CAND_35,TASK_11,62,1,0,88,6,8.5
CAND_12,TASK_15,54,1,0,96,9,8.2
CAND_30,TASK_10,88,1,0,90,6,8.9
CAND_14,TASK_9,69,1,0,90,7,9.4
CAND_35,TASK_18,54,0,0,87,6,7.5
CAND_25,TASK_1,53,3,0,86,14,9.5
CAND_46,TASK_3,75,2,0,98,5,8.8
CAND_34,TASK_8,74,0,0,90,13,9.0
CAND_45,TASK_12,60,1,0,88,13,7.7
CAND_6,TASK_11,71,3,0,100,8,8.3
CAND_5,TASK_19,41,3,0,91,7,8.2
CAND_31,TASK_15,73,1,0,93,6,8.5
CAND_9,TASK_14,48,2,0,87,13,7.4
CAND_39,TASK_8,46,3,0,100,5,8.5
CAND_36,TASK_6,56,0,0,91,8,7.5
CAND_35,TASK_7,78,1,0,99,9,9.7
CAND_22,TASK_5,66,3,0,90,11,9.2
CAND_15,TASK_10,41,1,0,95,9,7.1
CAND_26,TASK_18,67,11,3,44,15,3.3
CAND_32,TASK_4,84,0,0,89,6,7.2
CAND_26,TASK_4,56,2,0,85,9,9.5
CAND_41,TASK_6,73,3,0,100,6,8.4
CAND_17,TASK_9,81,0,0,94,5,9.9
CAND_40,TASK_11,80,0,0,86,5,9.5
CAND_17,TASK_13,43,11,3,61,22,2.9
CAND_8,TASK_13,58,0,0,100,5,8.3
CAND_24,TASK_3,47,0,0,91,5,7.2
CAND_31,TASK_14,63,0,0,89,8,9.2
CAND_28,TASK_19,75,2,0,88,7,9.0
CAND_32,TASK_8,82,1,0,89,9,9.0
CAND_40,TASK_9,49,1,0,99,5,7.9
CAND_4,TASK_14,41,2,0,86,7,7.4
CAND_27,TASK_8,114,4,1,49,19,2.5
CAND_16,TASK_2,41,1,0,97,9,9.8
CAND_9,TASK_8,50,1,0,99,5,9.8
CAND_30,TASK_12,53,3,0,94,13,7.5
CAND_35,TASK_7,71,2,0,98,5,8.9
CAND_21,TASK_8,88,3,0,93,6,8.9
CAND_11,TASK_11,55,11,2,46,21,4.6
CAND_21,TASK_15,64,1,0,96,6,7.3
CAND_44,TASK_13,66,1,0,99,7,7.5
CAND_19,TASK_7,61,2,0,89,5,8.5
CAND_42,TASK_16,83,2,0,93,9,7.5
CAND_4,TASK_8,47,0,0,96,9,9.6
CAND_25,TASK_10,74,3,0,100,14,9.0
CAND_2,TASK_9,60,3,0,98,11,8.8
CAND_42,TASK_12,87,0,0,93,8,8.6
CAND_20,TASK_11,56,1,0,98,13,9.9
CAND_19,TASK_5,55,2,0,99,11,8.4
CAND_24,TASK_3,43,2,0,97,8,9.2
CAND_38,TASK_14,46,9,1,79,21,2.0
CAND_7,TASK_4,43,3,0,93,8,8.2
CAND_4,TASK_2,68,1,0,87,12,7.3
CAND_46,TASK_19,69,1,0,87,7,8.5
CAND_31,TASK_4,61,3,0,97,14,9.1
CAND_33,TASK_18,28,11,1,75,28,3.3
CAND_45,TASK_1,88,2,0,96,13,9.8
CAND_27,TASK_15,56,1,0,88,8,9.4
CAND_16,TASK_5,45,2,0,98,11,8.7
CAND_45,TASK_6,49,1,0,87,5,8.8
CAND_42,TASK_3,56,2,0,97,7,9.8
CAND_37,TASK_17,85,1,0,87,9,9.5
CAND_26,TASK_4,60,1,0,100,9,9.1
CAND_36,TASK_6,78,2,0,86,7,8.3
CAND_24,TASK_4,80,1,0,98,13,9.3
CAND_28,TASK_7,60,1,0,92,14,7.8
CAND_16,TASK_10,74,2,0,96,12,9.9
CAND_43,TASK_18,64,0,0,90,13,8.5
CAND_27,TASK_7,82,0,0,89,8,7.9
CAND_11,TASK_15,45,2,0,99,6,9.2
CAND_14,TASK_5,87,2,0,89,14,9.5
CAND_37,TASK_17,60,1,0,89,7,9.2
CAND_41,TASK_1,58,2,0,93,9,8.8
CAND_22,TASK_1,89,0,0,88,14,7.3
CAND_43,TASK_9,56,3,0,97,6,8.2
CAND_46,TASK_6,78,1,0,85,5,8.8
CAND_22,TASK_16,73,0,0,94,9,7.4
CAND_22,TASK_12,41,1,0,86,7,9.0
CAND_10,TASK_3,63,2,0,92,10,9.4
CAND_26,TASK_4,88,3,0,100,11,9.6
CAND_15,TASK_14,85,3,0,90,12,7.4
CAND_26,TASK_17,66,0,0,93,12,10.0
CAND_33,TASK_10,41,0,0,92,7,9.7
CAND_43,TASK_19,74,1,0,91,8,8.4
CAND_8,TASK_9,44,2,0,95,12,7.6
CAND_47,TASK_15,75,0,0,89,12,9.4
CAND_20,TASK_6,87,1,0,92,6,7.5
CAND_27,TASK_18,51,1,0,91,7,8.1
CAND_8,TASK_5,82,3,0,90,5,8.8
CAND_6,TASK_14,71,3,0,100,9,8.3
CAND_45,TASK_13,58,3,0,93,11,9.9
CAND_27,TASK_5,73,3,0,96,10,9.9
CAND_34,TASK_5,64,2,0,85,8,9.2
CAND_6,TASK_19,74,0,0,96,13,9.5
CAND_44,TASK_9,83,0,0,95,6,9.5
CAND_28,TASK_16,60,3,0,86,10,9.5
CAND_21,TASK_3,60,3,0,92,14,7.3
CAND_23,TASK_16,73,0,0,87,6,9.2
CAND_16,TASK_2,61,0,0,89,7,7.1
CAND_39,TASK_6,41,2,0,92,12,7.2
CAND_23,TASK_3,48,3,0,96,5,9.5
CAND_21,TASK_3,43,1,0,93,10,8.1
CAND_39,TASK_9,85,3,0,98,8,9.6
CAND_6,TASK_2,74,3,0,97,6,9.0
CAND_35,TASK_19,85,1,0,98,8,8.1
CAND_40,TASK_14,69,2,0,98,8,7.1
CAND_19,TASK_14,65,1,0,91,10,9.6
CAND_45,TASK_7,42,1,0,87,13,9.5
CAND_19,TASK_15,53,2,0,93,11,8.6
CAND_40,TASK_17,53,3,0,90,9,8.6
CAND_25,TASK_14,69,0,0,100,5,8.4
CAND_30,TASK_9,50,0,0,87,13,7.9
CAND_46,TASK_9,43,2,0,88,12,9.6
CAND_12,TASK_3,55,0,0,98,5,7.9
CAND_21,TASK_5,50,3,0,98,6,8.7
CAND_9,TASK_9,87,3,0,89,7,8.5
CAND_1,TASK_8,43,2,0,85,6,9.6
CAND_12,TASK_14,84,2,0,99,12,8.0
CAND_29,TASK_8,86,2,0,93,7,9.7
CAND_4,TASK_7,60,2,0,90,8,9.4
CAND_3,TASK_12,67,3,0,88,10,9.4
CAND_8,TASK_6,41,3,0,86,11,10.0
CAND_12,TASK_6,45,1,0,93,6,8.1
CAND_1,TASK_13,65,2,0,92,7,7.8
CAND_49,TASK_13,108,11,2,74,27,3.9
CAND_43,TASK_1,77,0,0,98,5,7.7
CAND_42,TASK_11,65,2,0,89,9,8.7
CAND_17,TASK_19,80,0,0,92,9,7.9
CAND_11,TASK_14,78,2,0,93,11,8.5
CAND_19,TASK_12,58,2,0,97,5,8.2
CAND_48,TASK_1,47,3,0,97,9,7.8
CAND_25,TASK_14,84,1,0,91,14,9.2
CAND_18,TASK_18,96,9,1,62,15,4.4
CAND_18,TASK_5,41,3,0,98,5,8.4
CAND_33,TASK_12,58,2,0,96,12,9.3
CAND_41,TASK_10,131,6,3,78,16,4.7
CAND_9,TASK_7,41,2,0,95,14,8.5
CAND_2,TASK_6,67,2,0,88,10,7.4
CAND_41,TASK_12,42,3,0,98,12,9.5
CAND_26,TASK_5,74,2,0,85,11,8.7
CAND_38,TASK_11,71,4,3,70,23,4.9
CAND_38,TASK_12,57,3,0,87,11,8.6
CAND_15,TASK_9,73,3,0,87,7,9.6
CAND_36,TASK_1,62,3,0,95,14,8.1
CAND_7,TASK_4,63,2,0,86,12,7.5
CAND_19,TASK_10,76,3,0,85,5,9.8
